"hostname","key","value","expected","compliant"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Control\Lsa\RunAsPPL","undefined","1","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Control\Lsa\DisableRestrictedAdmin","undefined","0","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Control\Lsa\DisableRestrictedAdminOutboundCreds","undefined","1","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Control\Lsa\LmCompatibilityLevel","undefined","5","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest\UseLogonCredential","undefined","0","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest\Negotiate","0","0","True"
"DC-SRV01","HKLM\Software\Policies\Microsoft Services\AdmPwd\AdmPwdEnabled","undefined","1","False"
"DC-SRV01","HKLM\Software\Policies\Microsoft Services\AdmPwd\PwdExpirationProtectionEnabled","undefined","1","False"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\Netlogon\Parameters\RequireSignOrSeal","1","1","True"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\Netlogon\Parameters\SealSecureChannel","1","1","True"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\Netlogon\Parameters\SignSecureChannel","1","1","True"
"DC-SRV01","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System\FilterAdministratorToken","undefined","1","False"
"DC-SRV01","HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy","undefined","0","False"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\LDAP\LDAPClientIntegrity","1","2","False"
"DC-SRV01","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services\SecurityLayer","undefined","1","False"
"DC-SRV01","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services\UserAuthentication","undefined","1","False"
"DC-SRV01","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services\fEncryptRPCTraffic","undefined","1","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\SMB1","undefined","0","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\EnableSecuritySignature","1","1","True"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\RequireSecuritySignature","1","1","True"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\AutoShareWks","undefined","0","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\AutoShareServer","undefined","0","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters\RestrictNullSessAccess","1","1","True"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\Rdr\Parameters\EnableSecuritySignature","undefined","1","False"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\Rdr\Parameters\RequireSecuritySignature","undefined","1","False"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\LanmanWorkstation\AllowInsecureGuestAuth","undefined","0","False"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\LanmanWorkstation\Parameters\EnableSecuritySignature","1","1","True"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\LanmanWorkstation\Parameters\RequireSecuritySignature","0","1","False"
"DC-SRV01","HKLM\System\CurrentControlSet\Services\LanmanWorkstation\Parameters\EnablePlainTextPassword","0","0","True"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Services\Netbt\Parameters\NodeType","8","2","False"
"DC-SRV01","HKLM\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient\EnableMulticast","undefined","0","False"
"DC-SRV01","HKLM\SYSTEM\CurrentControlSet\Services\WinHttpAutoProxySvc\Start","3","4","False"
"DC-SRV01","HKLM\Software\Microsoft\Windows\CurrentVersion\Internet Settings\Wpad\WpadOverride","undefined","0","False"
"DC-SRV01","HKLM\Software\Microsoft\Windows\CurrentVersion\Internet Settings\AutoDetect","undefined","0","False"
"DC-SRV01","HKLM\System\currentcontrolset\services\tcpip6\parameters\DisabledComponents","32","32","True"
"DC-SRV01","HKLM\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\WUServer","undefined","","False"
"DC-SRV01","HKLM\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU\UseWUServer","undefined","1","False"
