"HostName","Name","SID","Caption","LocalAccount","Member"
"DC-SRV01","Pre-Windows 2000 Compatible Access","S-1-5-32-554","Pre-Windows 2000 Compatible Access","True","DC-SRV01\Authenticated Users"
"DC-SRV01","Windows Authorization Access Group","S-1-5-32-560","Windows Authorization Access Group","True","DC-SRV01\ENTERPRISE DOMAIN CONTROLLERS"
"DC-SRV01","Administrators","S-1-5-32-544","Administrators","True","earth\Administrator"
"DC-SRV01","Administrators","S-1-5-32-544","Administrators","True","earth\Enterprise Admins"
"DC-SRV01","Administrators","S-1-5-32-544","Administrators","True","earth\Domain Admins"
"DC-SRV01","Users","S-1-5-32-545","Users","True","DC-SRV01\INTERACTIVE"
"DC-SRV01","Users","S-1-5-32-545","Users","True","DC-SRV01\Authenticated Users"
"DC-SRV01","Users","S-1-5-32-545","Users","True","earth\Domain Users"
"DC-SRV01","Guests","S-1-5-32-546","Guests","True","earth\Guest"
"DC-SRV01","Guests","S-1-5-32-546","Guests","True","earth\Domain Guests"
"DC-SRV01","Certificate Service DCOM Access","S-1-5-32-574","Certificate Service DCOM Access","True","DC-SRV01\Authenticated Users"
"DC-SRV01","Denied RODC Password Replication Group","S-1-5-21-3318670742-1788910955-930507466-572","Denied RODC Password Replication Group","True","earth\krbtgt"
"DC-SRV01","Denied RODC Password Replication Group","S-1-5-21-3318670742-1788910955-930507466-572","Denied RODC Password Replication Group","True","earth\Domain Controllers"
"DC-SRV01","Denied RODC Password Replication Group","S-1-5-21-3318670742-1788910955-930507466-572","Denied RODC Password Replication Group","True","earth\Schema Admins"
"DC-SRV01","Denied RODC Password Replication Group","S-1-5-21-3318670742-1788910955-930507466-572","Denied RODC Password Replication Group","True","earth\Enterprise Admins"
"DC-SRV01","Denied RODC Password Replication Group","S-1-5-21-3318670742-1788910955-930507466-572","Denied RODC Password Replication Group","True","earth\Cert Publishers"
"DC-SRV01","Denied RODC Password Replication Group","S-1-5-21-3318670742-1788910955-930507466-572","Denied RODC Password Replication Group","True","earth\Domain Admins"
"DC-SRV01","Denied RODC Password Replication Group","S-1-5-21-3318670742-1788910955-930507466-572","Denied RODC Password Replication Group","True","earth\Group Policy Creator Owners"
"DC-SRV01","Denied RODC Password Replication Group","S-1-5-21-3318670742-1788910955-930507466-572","Denied RODC Password Replication Group","True","earth\Read-only Domain Controllers"
